pt,eta,phi,mass,tau21,vjet
890.028687,-0.732253,-1.145874,65.273821,0.645159,1
822.451782,0.020153,2.066941,87.665448,0.217867,1
804.251343,-1.430442,-0.395043,69.289055,0.650851,1
786.199402,-0.362612,2.701341,80.523482,0.395539,1
1076.393921,0.178886,-1.235640,76.605977,0.483605,1
893.019958,-0.195258,1.800590,103.257178,0.185294,1
842.809814,0.458359,-2.312063,69.662493,0.339126,1
853.198486,-0.395645,0.804779,102.184076,0.273572,1
829.147339,1.149651,-0.047638,80.675922,0.550205,1
847.883057,0.477913,-3.095401,102.755985,0.283706,1
605.109314,-1.244596,-1.442673,90.349169,0.234156,1
567.443909,0.402977,1.942429,70.455909,0.562910,1
909.366699,0.333901,-1.227962,100.264054,0.169234,1
808.753845,-0.495277,1.867826,98.614873,0.305363,1
1130.284058,-0.790060,0.745178,92.864758,0.525602,1
599.841919,-0.595423,-2.527723,76.327959,0.294375,1
545.772827,0.959674,-1.679685,2.766928,0.804170,0
232.842331,0.389857,-3.114393,18.009267,0.618005,0
921.482788,-0.139102,2.443908,96.135894,0.183514,1
913.049744,0.101164,-0.644785,99.395551,0.265375,1
1001.225098,0.981426,2.168772,100.987843,0.135566,1
626.659424,0.540025,-0.975661,55.277025,0.578422,1
869.209412,-0.044915,2.042484,76.149794,0.397103,1
879.964050,0.031091,-0.895602,102.463275,0.303177,1
197.316666,0.733353,-2.034602,46.570112,0.529578,0
655.150269,-0.680659,1.881329,86.316065,0.392094,1
522.844604,1.503179,-1.400735,113.627702,0.462763,1
163.024933,-2.841206,-0.491441,0.000000,0.489427,0
1071.913330,-1.235500,2.772972,115.850797,0.203536,1
835.777771,-1.091264,-0.931982,80.750169,0.336926,1
420.304718,1.887256,0.855165,15.755671,0.443134,0
261.254669,0.234100,-0.301201,18.429069,0.696092,0
906.175903,0.094152,-1.882774,75.239165,0.273484,1
857.038452,-0.592349,1.259995,91.703387,0.349146,1
877.186646,-1.033918,0.146750,87.320872,0.563897,1
774.782532,-0.216277,-2.783556,75.890670,0.502676,1
181.610153,-1.695976,1.274954,0.000000,0.709941,0
774.088257,-0.525721,2.882608,85.860713,0.449916,1
600.627502,-1.512838,-0.323769,70.772466,0.396387,1
819.251343,-0.014015,2.476715,90.084175,0.198912,1
780.107544,-1.124060,-0.652467,100.667274,0.294339,1
733.688599,-0.210180,2.768817,90.433464,0.395925,1
586.919617,1.531184,-0.333589,90.923205,0.342063,1
647.795471,0.010764,1.404618,88.356149,0.271058,1
470.212219,2.090518,-1.725275,75.385295,0.441190,1
1035.476074,0.439221,-1.685622,382.190632,0.342102,0
1027.434692,0.160543,1.495355,29.251387,0.826612,1
978.119873,0.174054,0.526024,97.880384,0.241105,1
860.873718,-0.277060,-2.746439,89.766623,0.290374,1
493.852142,1.421297,-0.620422,104.961270,0.456876,1
412.456360,-1.297238,2.344929,101.436983,0.274781,1
1294.055786,0.064399,-2.751102,92.677162,0.367526,1
759.778198,-0.666338,0.857833,9.518857,0.765844,0
605.928223,-0.327470,-0.028996,80.272477,0.288049,1
1051.789673,-0.159663,-1.774530,97.068636,0.519032,1
740.360718,0.269888,1.482207,90.419880,0.191244,1
324.471527,1.643571,1.209669,16.699672,0.668959,0
932.146851,0.352800,-2.640571,102.396980,0.330830,1
588.869812,-1.192474,0.823575,102.171358,0.297227,1
260.755463,-0.293210,-0.199761,55.033146,0.720396,0
225.842209,2.234267,1.160003,2.844116,0.782854,0
181.961563,-2.262021,-0.889299,62.182501,0.391042,0
1144.527954,-0.181306,0.753196,87.910183,0.616876,1
562.144592,0.475303,-2.121690,77.038890,0.433375,0
594.737427,0.990612,-3.111942,94.841628,0.282660,1
191.881226,1.152484,-1.568282,0.000000,0.869465,0
981.835815,0.861557,2.915290,255.140920,0.548024,0
806.282532,0.053987,-0.499431,90.420186,0.276053,1
332.958160,0.601719,0.430333,54.076948,0.377794,0
878.886108,0.368376,-1.306852,111.004724,0.285487,1
845.552185,-0.636277,1.859192,99.382164,0.264021,1
818.732910,0.216769,-2.675617,93.943490,0.169393,1
838.567017,-0.247007,0.904123,9.037674,0.599747,1
649.610474,0.576015,-1.725484,7.769492,0.805147,0
177.355774,2.161495,0.528519,32.626418,0.579435,0
870.573425,-0.890915,1.514351,86.205847,0.284143,1
805.713623,-0.083976,-1.900146,85.074416,0.158729,1
335.481171,-0.844405,0.150190,6.807001,0.782730,0
1761.768555,0.146335,-1.158000,653.300311,0.133828,0
1165.331787,0.180843,2.988006,89.082667,0.276476,1
1020.580322,-0.882084,0.868520,2.053467,0.798328,0
549.688110,0.553811,2.000997,103.966968,0.607971,0
756.559326,1.583368,3.023136,92.278506,0.139422,1
738.772766,0.300637,-0.176856,79.437847,0.282807,1
936.390137,0.406076,-0.080811,92.254720,0.296930,1
841.619080,0.455636,3.124747,110.261000,0.329922,1
820.845764,0.414150,1.712497,82.057186,0.377972,1
798.109131,-0.654278,-1.570309,74.983223,0.337664,1
968.187378,-0.161314,-1.509943,81.528749,0.326572,1
811.857666,0.545197,1.931383,104.702714,0.479161,1
348.162964,-0.164914,0.612518,3.219830,0.792908,0
803.402771,0.142191,2.099585,74.079678,0.420326,1
625.141296,0.453863,-1.030294,70.432367,0.376316,1
679.673096,-1.651786,1.323956,90.143582,0.441694,1
536.465820,0.387488,-2.375471,3.094765,0.416168,1
354.689178,-0.448460,-1.014035,44.678628,0.780463,0
937.634277,0.560275,0.494314,82.993071,0.383423,1
945.786560,0.555857,-2.622388,259.734486,0.517196,1
743.219177,-0.750424,-1.100435,67.360294,0.327687,1
770.712402,-1.340392,1.917307,110.960558,0.354595,1
133.559723,0.898483,2.475220,0.000000,0.837298,0
601.674072,0.084717,-2.193371,93.044889,0.331814,1
458.522980,-2.160369,1.049464,91.869539,0.442469,1
882.564087,-0.423821,-2.600887,90.139035,0.307968,1
876.032166,-1.087319,0.555376,89.754082,0.395711,1
795.877747,-0.831226,2.645612,96.612371,0.161916,1
751.792969,0.385593,-0.542273,87.352776,0.312253,1
909.867432,0.469535,2.274616,211.686636,0.689390,1
837.113403,1.163486,-0.993860,72.649062,0.617473,1
154.079727,1.860472,1.102884,0.000000,0.738775,0
875.280579,0.261768,-2.389515,88.116083,0.490401,1
867.259949,-0.585862,0.760844,70.966350,0.204779,1
837.169006,-0.687185,2.294353,89.518399,0.189863,1
760.957520,0.120226,-0.874802,82.452449,0.257994,1
812.462097,0.270298,-2.597863,93.800079,0.315572,1
786.079712,-0.578875,0.419330,74.713220,0.411357,1
1006.550476,-0.005355,-0.537916,100.107258,0.419790,1
978.891785,-0.243637,2.593816,94.912082,0.267900,1
950.502502,-0.866298,-1.245334,88.422258,0.388897,1
885.271301,-1.022647,1.955218,99.232248,0.420770,1
753.429932,1.204315,-1.093277,79.279412,0.236469,1
522.698486,1.440607,1.989423,62.899293,0.568661,1
939.846436,0.688609,-0.142125,126.797831,0.396690,1
763.944458,-0.367440,3.127437,95.367919,0.069842,1
865.994324,0.243417,2.703378,93.924686,0.215689,1
791.706970,-0.815119,-0.495281,93.928531,0.188477,1
984.115601,-0.346871,2.093224,85.873049,0.421870,1
888.419312,-0.694419,-1.019372,102.907225,0.379360,1
912.058289,-0.306155,-2.326004,83.871910,0.430448,1
878.325012,-0.707202,0.965773,112.606834,0.251385,1
996.959900,-0.178736,-1.724529,86.945145,0.261441,1
878.226196,0.075197,1.228699,92.722490,0.388120,1
264.508942,0.697099,2.060323,9.150867,0.768379,0
579.865540,-2.226774,1.330868,93.517166,0.270333,1
529.196838,-0.296630,-1.693083,71.983345,0.209258,1
1196.336426,-0.016304,0.700254,30.558216,0.737998,1
720.788025,0.184140,-2.961643,102.814892,0.486212,1
419.623199,1.645257,-1.484754,12.039937,0.847575,0
371.182617,-1.506180,-2.630700,4.326612,0.662030,0
1108.454468,0.616462,1.496031,298.475811,0.235643,0
985.830688,0.664499,-1.738254,89.811801,0.275695,1
882.477600,0.340706,-0.010306,85.248714,0.255161,1
766.278503,0.817021,2.869231,207.813948,0.411971,0
147.573364,2.518577,-1.870083,0.000000,0.617891,0
738.963684,0.660633,-2.515369,100.890234,0.225670,1
677.865723,-0.675842,0.725504,88.769964,0.370033,1
857.549194,0.031163,2.542900,86.904037,0.313224,1
831.426575,-0.945321,-1.163335,97.713488,0.474509,1
439.596069,0.011489,0.627900,26.885992,0.649374,0
877.856445,1.358804,-3.114605,105.263467,0.529801,1
694.797302,0.933622,0.051530,66.124694,0.652351,1
910.834473,0.718871,-1.384557,102.028199,0.363684,1
914.556091,0.434076,1.764355,95.867437,0.313608,1
934.128845,1.134087,0.021745,87.714838,0.385174,1
487.611237,-0.258171,3.049305,73.674928,0.404823,1
395.608124,1.026652,-3.043344,40.114941,0.541344,0
900.131287,-0.125390,-1.124725,105.869096,0.232049,1
810.882996,0.604042,2.002136,93.003309,0.341885,1
872.401001,-0.789058,2.991766,96.910126,0.307645,1
713.090698,0.179129,-0.039068,85.536929,0.311204,1
905.486328,0.863307,-2.830339,89.351155,0.285727,1
855.528687,0.747623,0.563185,94.084484,0.490141,1
892.980835,0.852639,-3.009001,93.272120,0.193637,1
784.002808,0.464359,0.118571,76.411788,0.418615,1
1175.387573,0.168410,-1.456702,318.845456,0.553170,1
974.621460,1.100265,1.001413,2.074304,0.644053,0
764.727783,-0.150206,2.381817,92.177302,0.311833,1
851.766785,-0.460282,2.926460,69.223824,0.378509,1
720.519836,-0.023110,-0.150967,75.239197,0.265241,1
877.694275,-0.745482,0.056427,87.167311,0.476961,1
759.918030,-0.587072,-3.085206,82.904215,0.279959,1
981.694763,-0.025924,2.613835,87.218449,0.304343,1
765.596497,-0.589287,-0.425624,123.874547,0.204137,1
873.783752,-0.054096,1.331049,2.591521,0.526975,1
758.242493,-0.747764,-1.759264,59.573875,0.477453,1
889.125854,-0.216676,-2.590701,92.021906,0.174907,1
877.922363,0.553996,0.704094,264.693076,0.412721,0
832.617920,1.309335,1.666983,26.828709,0.743517,1
763.073792,0.210942,-1.588836,92.925733,0.258950,1
902.744751,0.399688,-2.038002,96.386487,0.521700,1
486.828552,1.100869,1.186219,66.531433,0.695676,1
830.094666,-0.549538,-2.432329,79.344793,0.313503,1
846.220032,-1.136339,0.639344,91.935064,0.223315,1
921.464905,-0.615001,-0.303195,89.248939,0.260329,1
829.316956,0.021744,2.626351,88.828050,0.365752,1
174.410385,1.655822,-1.928680,0.000000,0.680196,0
971.477844,-0.265340,-0.159930,94.986493,0.391709,1
944.782166,-0.373339,3.005749,92.771073,0.169539,1
860.506775,-0.295498,-1.754219,77.791073,0.429540,1
770.567322,0.055770,1.386386,74.933780,0.380339,1
882.634949,-0.200409,-2.564879,91.105341,0.283905,1
611.810608,-1.533557,1.154987,86.917826,0.499300,1
428.636963,1.601641,-0.077717,23.892035,0.847225,0
897.324524,0.432893,2.849321,103.964569,0.307850,1
802.915649,0.967520,-0.244871,80.895174,0.263913,1
886.531799,0.106601,2.798416,108.838278,0.293331,1
808.416992,1.115816,-0.348549,105.904526,0.519943,1
808.664368,-0.216139,1.337312,71.088347,0.403988,1
931.325378,-0.267043,-2.248878,102.796012,0.277774,1
264.591858,1.727912,-0.619791,57.817869,0.531474,0
713.640869,-0.332096,-2.369188,74.826248,0.245963,1
719.849609,1.064746,0.571213,95.512293,0.643020,1
189.335861,-0.020218,2.322510,0.000000,0.766899,0
936.790771,0.756764,-1.126069,70.512691,0.527410,1
808.621582,0.365590,1.957848,80.744981,0.453546,1
939.684814,-0.095521,-1.517039,90.935865,0.138228,1
817.555908,-0.557311,1.717132,64.164073,0.433102,1
855.540833,0.068452,-1.616024,79.960608,0.164190,1
688.030945,0.196834,1.409937,79.960071,0.282469,1
764.221436,-0.714376,-1.229746,5.018561,0.571576,1
746.482544,-1.787854,2.049499,92.748622,0.254216,1
172.659042,0.290778,1.509654,0.000000,0.753086,0
910.532959,-0.308993,-0.254510,2.282527,0.373543,1
696.275085,-1.373775,3.080167,99.299392,0.234523,1
199.932907,0.153758,2.082393,3.344838,0.682514,0
1664.518188,-0.299308,1.060168,105.802981,0.282065,1
977.529114,-0.557611,-1.904712,16.028969,0.553359,0
893.382690,1.469041,-1.375637,-0.000022,0.695419,0
713.628235,0.327652,2.774669,89.907471,0.315090,1
1102.211182,0.144302,0.963082,82.387072,0.331255,1
827.476013,1.081939,-2.485155,0.329593,0.778247,0
650.936035,1.080536,-1.354376,84.003597,0.342165,1
175.931488,1.188656,1.920909,0.000000,0.828345,0
786.260864,0.185567,1.899116,82.430349,0.326242,1
719.805786,-0.146054,-1.276655,56.322075,0.577326,1
251.423264,-0.840994,0.159798,31.217255,0.707601,0
242.214157,1.653144,-2.861747,2.660116,0.895074,0
874.377686,-0.410057,-1.150678,90.294594,0.136767,1
869.261963,0.212274,1.993642,95.427627,0.308926,1
749.527710,-0.127861,-2.107942,73.555270,0.163885,1
813.745361,0.398159,0.938222,86.818236,0.203136,1
831.930725,0.128630,1.935481,83.751178,0.612010,1
703.709534,-0.556975,-1.219222,76.806400,0.585097,1
923.859802,-0.110584,-0.760237,97.956606,0.328895,1
839.472046,0.711523,2.314427,110.347647,0.515853,1
