jet,constituent,eta,phi,px,py,pz,p
2,38,-0.967209,2.450754,-0.511976,0.423275,-0.747475,2.982803
2,39,-0.702803,2.892087,-0.770726,0.196393,-0.606144,1.829471
2,40,-0.428480,2.181407,-0.524481,0.749442,-0.404050,1.440177
2,41,-0.752966,2.193142,-0.449410,0.626394,-0.636915,1.114720
2,42,-0.705527,2.606713,-0.683137,0.404752,-0.607864,0.932852
2,43,-0.563982,2.155527,-0.474491,0.716807,-0.510926,0.860545
2,44,-0.742882,2.283863,-0.507546,0.586843,-0.630883,0.564192
2,45,-0.845424,2.410429,-0.539744,0.484158,-0.688671,0.585204
2,46,-0.680441,1.948989,-0.297639,0.749118,-0.591806,0.519126
2,47,-0.588885,2.602523,-0.728226,0.435600,-0.529093,0.239663
2,48,-0.520402,1.598875,-0.024660,0.878008,-0.478010,0.215552
2,49,-0.817408,1.692629,-0.089817,0.733566,-0.673657,0.163274
